,verified,month_year_fly,country,aircraft,type,food,money_value,recommended,review
2084,False,2016-11-01,United Kingdom,Boeing 777,Couple Leisure,1.0,1,False,"London Gatwick to Barbados return. British Airways is a terrible airline and I will never use it again. Paid extra for premium economy and another £192 to make sure we could sit together, which I have never had to do with airlines on long haul. We were told there may be a small charge when we booked the holiday. The plane was very dated and dirty the floor was dirty, my tray was covered in coffee stains. On the outward flight, one footrest would not stay up, and inward the foot rest and leg support would not work. The crew gave us a champagne welcome then vanished until the food came, tough if you would have liked another drink. It seemed the crew were very tired or just fed up serving people, I suggest they change jobs."
2085,False,2016-11-01,United Kingdom,Boeing 777-200,Solo Leisure,1.0,2,False,"London Heathrow to Bangkok with British Airways, and they operate some of their oldest planes on this route so the screen is only 6"" with square lines across the screen. The food is very poor on quality compared to other airlines covering the same route, only two offerings of water on the outbound flight. Usually fly this route in business class and British Airways offering is far inferior product on this route also. Despite being Silver member will be voting with my feet and using other airlines when available on all future travels. This was one bad trip too many with British Airways."
2089,False,2016-11-01,United Kingdom,Boeing 777,Couple Leisure,1.0,1,False,"London Gatwick to Mauritius return. Our outbound flight had certainly not been memorable, but new to British Airways we were prepared to wait and see. The inbound flight commented upon here was much worse, but with many facets of the earlier experience.  We paid two supplements for the flights. A substantial fee to upgrade from Economy and a very unpopular one to ensure as elderly clients - on overnight flights - we could sit together! The combined cost therefore was significant. The benefits were not. Firstly, upon being seated we were faced with a cabin crew apparently in a bad mood. A lady ahead of us had a headrest problem, she was rudely dealt with and seemed intimidated.  Throughout the flight during waking hours, passengers seemed to be a nuisance. Food - as we had flown this class on other scheduled airlines, we were expecting a menu to select meals. How silly. Here the economy trolley brought appalling food with a twin choice - chicken or veg (a bright green Risotto). So, no Choice! No bread roll, no cheese and bikkies, a 'choice' of one red wine, and plastic cutlery. This was served after the attention in Economy, and may account for the absence of choice. Whatever, it was awful. It was noticeable how many meals remained uneaten. What a waste of resources. Significantly better quality has been had on holiday airline journeys of shorter duration. The Premium Economy (WTPlus) cabin had no provision for toilets. It was necessary to go forward to Club, or back to Economy! It became clear early-on that going forward was not popular with those in that cabin, so back it was! During the night, with passenger debris in aisles, this was hazardous with shiny plastic bags (from headphone containers) to slip on. Is nobody in British Airways capable of seeing the provision of a loo for 24 passengers is essential?  On arrival in UK we read that BA is to put even more seats in Economy class on this type of aircraft. Goodbye British Airways - not even nice to have used you."
2096,False,2016-11-01,United Kingdom,A319,Business,1.0,2,False,"London to Geneva. I'm not sure British Airways are committed to short haul business anymore and can see them going high density economy seating only as some others do. Business seat same as economy everyone now knows about, but the downgraded food - lunch consisted of a small plate with a slice of ham, slice of Palma ham and dollop of buffalo mozzarella cheese and a bread roll. And that was that. Not even butter with the roll. Guess the value of food was about GBP1. Crew did their best with a poor product. Flight on time. Not worth a premium over economy ticket."
2103,False,2016-10-01,United Kingdom,A320,Business,1.0,1,False,"London Heathrow to Bucharest with British Airways. To fly to disappoint. After my arrival in Heathrow T5 the check-in area for Club Europe was clearly marked and separated for the rest of the check-in lounge and a host was guiding you to the check-in line. After saying hello to the host making my way to the check-in line I was stop with an unpleasant “Excuse me, this is business class”. Like a naughty school boy I returned to the lady and show her my boarding pass which allowed me to access the “exclusive area”. Check-in was smooth and I was airside in under 20 minutes. Enough time for some duty-free shopping in an airport already decorated for Christmas. Being a little bit hungry I was looking for the “light meals or snacks especially prepared for you” and “drink from our World Wine bar” as BA promised again on their website. The only  I made was some sad sandwiches and after checking 4 empty bottles on display I found some warm French white wine. Therefore, I decided to cut my time spent in the “comfortable private lounge” and treat myself with some Costa coffee and some nice tasty sushi in the terminal. Waiting for the promised menu which “features irresistible meal options crafted to perfectly match the time and duration of your flight”. Couple months ago a tasty plate with canapés was offered to passengers in Club Europe. In the London-Bucharest flight I was offered the eternal option “beef or fish” with, indeed, a nice polite smile from the Purser. The tray looked like an Economy tray on a Tarom or KLM flight to Bucharest. No salad, an overlapping end-of meal option of cheese and lemon merengue and a fish which was the blandest food I ever had onboard. When I was still looking for my “very British experience” the tray was taken away. Coffee and a second round of drinks were served shortly after the main meal service was finished. I couldn’t stop wondering where that smooth, stylish service from my last flight went. Of course, the crew was polite and nice as much as they can, shaping their enthusiasm according the product offered to passengers. And another odd element: no other drink service; you needed to ask for another drink as the crew was busy to stop the Club Europe toilet in the front from leaking and flooding the entire front galley."
2113,False,2016-10-01,Belgium,A319,Business,1.0,1,False,"I am tall, 196cm to be exact. That's why on a recent flight from London to Brussels I couldn't face being crammed into a microscopic economy seat. Instead I decided to pay £385 to fly in British Airways ""Business"" class. What a mistake! On arrival to Heathrow's Terminal 5 I tried to enter the queue at zone B as directed by one of the information signs. I was told that the staff had decided to close that so I had to go somewhere else. I joined the queue at ""C"" instead but was told when I got to the front that business class checked in at H. I made my way to British Airways business class lounge, which was crowded, dirty with wet smelly bathrooms that looked more like a run-down bus station than an airline's lounge. The place was wildly understaffed which meant that there were used plates, cutlery and half eaten food littering tables in the room. It was far less crowed in the rest of the terminal which is where I waited for my flight. The gate was announced and I made my way to gate 10C where the flight was being bussed. I was in seat 3D. It was not a business class seat at all but an economy seat with almost zero legroom. The whole point of spending £385 was legroom and I didn't have any. I asked the flight attendant if anything could be done.  BA would not have been my choice anyway but I do understand that given tight schedules and limited choice sometime you are forced to fly with a particular company against your better judgment. In that case don't make the same mistake as me. British Airways."
2117,False,2016-10-01,United Kingdom,Boeing 777-200,Couple Leisure,2.0,3,False,"Flew from Bangkok to London Heathrow. Once again the 3 cabin B777. Crew were very friendly but not very attentive when it came to service so I never got a welcome drink. The seat was the standard Club World seat which is ok for lying down or sitting full up right, anything in between feel awkward. The food was bordering inedible with especially the steak cooked beyond all recognition. As always BA's lack of dine on demand and inflight snacks were showing (the Club kitchen is getting worse each flight it seems). However the meal service is reasonably quick at just over 2 hours from take off and a significant improvement on the outbound flight. The inflight entertainment selection is quite good but the screen are small and terrible and the cabin as a whole could benefit from a total over hall. Pre-landing snacks were better than the main service but still not worth writing about. Crew were friendly through out the flight but again not very attentive by missing out drinks servings. If I had not managed to get the tickets at a heavily discounted price I would have felt cheated on both the hard and soft product provided. British Airways needs to step up their game to get my money again."
2121,False,2016-10-01,United Kingdom,Boeing 777-300,Business,1.0,2,False,"Tokyo Haneda to London, and British Airways is cost cutting all the time! I was extremely disappointed with the onboard catering. For a 12 hours flight there were no mid flight snacks or food. The tuck box vanished from your offering. We got served a small breakfast at departure (9am Tokyo time) and nothing until 90 minutes before landing. Pretty much 10 hours with no food!  So not only the food available seems to have been reduced but it is also very poorly timed.  It looks like despite BA's good profits, they are cost cutting to extreme levels. Perhaps the CEO could try out this sector in World Traveller or World Traveller Plus (rather the the First class he probably uses on a long haul flight) and see how he feels at the end of it! Maybe he will turn a little skinnier! Certainly not an enjoyable or relaxing experience!"
2127,False,2016-06-01,South Africa,"Boeing 747, A380",Business,2.0,1,False,"Flew JNB to ATH via LHR. Really disappointed and expected so much more. After reading previous comments have to agree that British Airways standards have slipped dramatically. Having flown first on same routing a while back its very evident to see the cost cutting in all aspects that its definitely not worth it to pay that sort of pricing. Food not at all up to standard and can honestly say have had a better experience having flown business with Gulf and Asian carriers. Its a real shame as when you speak to staff on board all agree and are quite embarrassed. On a positive point, staff on all legs were really nice and helpful, just let down by a poor product."
2135,False,2016-08-01,Ireland,Boeing 787-9,Solo Leisure,1.0,2,False,"London Heathrow to Kuala Lumpur. Very poor service. This is their much vaunted Boeing 787 first class. Could not book a massage in their lounge despite trying to book 3 weeks in advance. The cabana in their lounge was smelly and had no clear partition from the toilet/ shower. Nobody bothered to check if I needed anything.Priority boarding was a joke. Outbound service on board was mediocre. Cabin crew slow to anticipate passengers' needs. No Wifi. One toilet and the same size as in a low cost airline. Food OK but not great. On arrival I asked the chief stewardess about fast track only to be brushed off with ""we don't do fast track here"". Return flight was equally poor. Rang the bell and no one came. Rang again after an hour to order breakfast. Stewardess came and said ""of course but we start serving from the other side"". So much for first class dining on demand. The only great part of the trip was the first class lounge in Kuala Lumpur, thanks to Malaysia Airlines as it is their lounge and NOT British Airways . BA lags behind Air France La Première as far as first class service is concerned."
2141,False,2016-10-01,United Kingdom,Boeing 777,Couple Leisure,2.0,2,False,"We were very excited about our Club World journey to Mauritius and how disappointed we were. The food wasn't great, the wines weren't either and the foot part of my ""flat bed"" kept on collapsing so I hardly got any sleep. The cabin staff were good and very helpful. We have travelled Virgin Upper Class and it is much better as your bed is made up with a duvet and sheets. All we got on British Airways was a sort of rather nasty blanket and no sleep suit either. Very disappointed in all of it. Our flight was terribly delayed because the incoming flight to Gatwick was struck by lightening which is not BA's fault I know but I would have thought they could provide another plane to save having to wait so long as they have done in the past. Maybe they just don't have spare planes any more long haul. We have travelled British Airways Europe several times in the past 3 years and think this is wonderful but long haul just does not do it for us and certainly we hope next time we go long haul we won't have to travel British Airways unless they pull up their socks."
2147,False,2016-07-01,United Arab Emirates,Boeing 777,Business,2.0,1,False,"Being a gold Exec Member and this was a redemption flight one should not really complain. But if I was paying 4000 UK for this I would be out raged. The Aircraft at B777-200 well past its sell by date. The Crew whilst personable and very pleasent look bored. The food is a disgrace, wines (white warm), reds (cold) so bad as when I asked for the Business class menu to compare it with First, was superior in every way. Example being First - Soup versus Business Crab Tian? The CSD just apologised and said I know its a disgrace but we keep telling them. Aircraft was so old the ceiling fell in with the celoptape loosing its grip and some foam plate hung out. It really is past a laugh asking people to pay their rates. Overall I find BA moving to a 3 star, its overall product is lazy, apathetic, inconsistent and tired. The crew are fantastic in the air as for the ground well its like a tube station or a civil servant job for life atitude. My advice stay well well away for premium prices, their Euro Business is laughing stock."
2151,False,2016-05-01,Canada,Boeing 777 / 747,Business,1.0,3,False,"Toronto to Lisbon connecting in London (outward) and stopover in London (return) with British Airways. A mix of Premium Economy and Economy. Easy check in at Toronto where the staff are great and the club lounge as usual was clean, welcoming and well run. OK boarding with juice and water offered on boarding. Bizarrely, no sparkling wine offered (""Sir - we only offer sparkling wine on flights from London"") No hot towel after take off but menu card offered. One round of drinks followed by dinner. Steak was overcooked, dry and with a greasy gravy - the worst meal to date. The biggest insult was the breakfast which has been downgraded from the ""muffin or nothing"" to a basket of smaller muffins, chocolate and cereal bars plus tea / coffee and juice. Just when you thought BA couldn't stoop any lower, they manage to find something else to nickel and dime. Good club lounge in T3 with decent showers. The flight from London to Lisbon was one of the best short haul flights for me. A younger mixed fleet crew were really friendly, offered great service and a prompt drink and snack service - a tasty roll (2 bites) and a desert (1 bite) with second drinks provided on request. Returning from Lisbon, a dreadful bus transfer to the aircraft, a more sullen and older crew with average service with the mini savory roll replaced by sweet or savory snacks (shameful that BA are increasing the sugar on offer across most flights with the current diabetes debate). The BA lounge on the B gates at T5 remains my favourite lounge with plenty of space and some peace and quiet. Onboard one of the old 747's with the old configuration with PE in front of biz class with juice, water or sparkling wine offered on boarding. My IFE had frozen before I sat down and even after reset had a mind of it's own. The safety video was abandoned soon after starting for a manual demo as there were clearly IFE issues across this aging 747. I finally gave up watching TV as the channel kept changing. No hot towels again. One drinks round and on asking for the little bag of pretzels, I was told they had be cut by embarrassed crew (at around 10p a bag - really?) A vile coleslaw starter, a choice of steak or butter chicken curry which I had and a small pot of chocolate pudding completed dinner. The chicken was tasty but not a business class entree (as claimed) by any stretch of the imagination. Tea and coffee but no after dinner drinks (had already been cut). The biggest insult in this continuing degradation of service is the scrapping of the second meal. The sandwich has gone with either 1 cookie or single finger of chocolate with tea / coffee with clearly embarrassed crew (again). This constant reduction in the PE product with the small stuff can't go much lower - there's only the seats and space left! Ironically, whilst in Lisbon the announcement was made regarding short haul food and drink being charged for in economy. BA are being disingenuous to suggest that people are asking for improved catering - yes, they're asking because you've cut the service back so much in the first place. I'd pay for a decent M&S sandwich but I enjoy my free drink. Charging for tea / coffee and juice - even Air Canada haven't stooped that low. I really worry for BA's future. The drive to improve the bottom line has gone too far. I don't see fares being reduced to reflect the reduced service. The board of BA / IAG group and their shareholders should be ashamed and embarrassed with themselves as the demise of the UK's flag carrier continues."
2155,False,2016-09-01,United Kingdom,A380,Couple Leisure,1.0,2,False,"Quite simply next time we fly, and where possible, we shall use any other airline (with one exception being South African Airways) rather than British Airways. Flew from Johannesburg to London Heathrow. The seating in business on the A380 is dire and the description given by another reviewer that it feels as if you are in a coffin is pretty accurate. The staff were just about acceptable, but they appeared indifferent and just going through the motions of serving the food and beverages whilst trying not to look too bored whillst doing their job. Oh, and my TV packed up and froze, so I was unable to watch or listen to any music for half of the journey. The Qantas business class seating is superb and just how all the other airlines should configure their seating on the A380. Shame they don't fly to South Africa, although, if they did, it would be impossible to book a seat, as everyone would choose to fly with them and not British Airways."
2163,False,2016-09-01,United Kingdom,Boeing 777-200,Couple Leisure,2.0,3,False,"Heathrow to Bangkok with British Airways. Fast check-in by friendly staff at LHR. The Galleries lounge was as always were busy but seats were comfortable and the food ok. Boarding started approx. 50 min before departure with boarding through L2. Unlike most of the Middle Eastern airlines we were just pointed in the general direction of our seats rather than shown to them. Aircraft was an older 777-200 in a 3 cabin configuration and the age was showing and while generally clean the trimming was coming apart, the IFE screens were small and the seats felt a bit cramped. Very much like Virgin Atlantic's Upper Class seat, these were great for sitting normally or fully flat but everything in between was a struggle. And the ying-yang seat configuration is akward to say the least but the centre seats are great if you travel as a couple. Welcome drinks were eventually served and we took off only slightly delayed. Dinner was painfully slow and it was a good 3 hours after take off before dinner was finished. Starter and dessert were ok, but the entree was far too overcooked for my taste. Also there is no dine on demand facility, you eat what you are given when it suits the crew. The crew were friendly but painfully slow. It also took more than an hour after dinner before the cabin lights were fully dimmed. Breakfast was served 2 hours before landing and the crew were transformed. It was a quick and efficient service, a shame it took them 9 hours to get to that point. Breakfast was not great but edible. We landed at Bangkok on time but no fast track cards for immigration were given. Bags arrived on the belt only minutes after we had passed through immigration. It is clear that BA have been cutting costs in their premium cabin and it shows in spades when compared to the Middle Eastern 3, the Asian airlines and even the US airlines. They could benefit from cutting the very generous bagage allowance and use the money saved on fuel on getting a new hard product (seats and cabins) and improving their soft product (food, service, etc), especially given their current price point. Based on reviews here I had set my expectations of BA low and I was still disappointed."
2172,False,2016-09-01,United States,Boeing 777-300,Business,1.0,1,False,"My husband and I flew from Atlanta to London and it was a nightmare experience. First the flight was delayed of 2 hours and since we had to make a connection in London to go to Geneva, we only had 45 minutes do so and it was a nightmare. No one to helped us, we had to run like crazy in the airport. We had to pass security and immigration one more time, we finally made it but we were the very last ones to board the plane to Geneva as it was about to close is door. I was shocked that British Airways did not provide us with any assistance, obviously they do not care about their customers. On our way back, the flight from Geneva to London was late by more than 40 minutes, and we had to run again in order to catch our flight to Atlanta. We flew in premium economy that does not even have its own bathroom, when you are in premium economy, there is only one bathroom for about 150 people and it is a shared one with people in economy. The food is non existent, one ounce of salad and four once of a ""so-called"" meal + dessert and watery coffee. You will be left hungry, so don't rely on their food because it is more than a huge disappointment. We paid $3800 for this trip and I regret choosing this airline. Premium economy is not worth the extra fee, you only get 7 inches more than in economy but that's it. You will struggle to find a bathroom available and the food is exactly the same than in economy. That's it.  I will not fly with them again and for everyone who is interested to make a flight connection in London Heathrow, please make other arrangements as it is a huge airport and British Airways flights are late. The only positive thing I must mention is that employees on the plane were very gentle, polite and nice to talk to but other than that, everything else with British Airways was off. Not worth the price nor the headache."
2173,False,2016-09-01,United Kingdom,Boeing 777-200,Family Leisure,1.0,2,False,"London Heathrow to New York JFK. Very poor service from beginning to end. Cabin interior is tired and the media screen was tiny. Food was ok but we had one beer and were then told there was no beer left on the plane! Asked three flight attendants for a drink later in the flight but only one attendant bothered to return - and that was to say there were no drinks left. Service on the return flight was no better. I am planning a business class trip to Thailand in November and I note the Emirates price is £550.00 less than BA. The British Airways plane is again a Boeing 777-200, which are now old and outdated and the Emirates are all A380 or 777-300ER, less than 5 years old with the most up to date entertainment and excellent in flight service. And they send a chauffeur driven car to take you to the airport! - why would anyone fly BA if they had a choice?"
2187,False,2016-09-01,United Kingdom,A320,Couple Leisure,1.0,1,False,"We flew as a group of 4 from Heathrow to Krakow in Club Europe. The aircraft was clean and newish so had the new ""economy"" seats in the Club section. I would like to know who at British Airways sanctions the use of these tiny seats in Club (I know its nice to have the middle seat blocked but I would prefer a bigger seat to sit in - maybe BA should have a look at Turkish Airlines Biz cabin!) The service outbound was just adequate - one drinks round, then a dinner service (BA872) which was edible but slopping / dumping the meal out of a heated plastic container into a china dish in front of the passenger lacks some grace to say the least. Are the crew trained to do this or was it just bone idleness not to prepare the meal in the galley then serve to the passenger? In all, the outbound journey was just about passable but not comfortable given the seating. Now for the return - what a joke! Nn lounge at Krakow - that's right you squeeze onto the end of that overcrowed bench by the gate and keep quiet! The flight was delayed by nearly 3 hours, so by the time boarding started it was a scrum (priority boarding abandoned) to get through the gate as most passengers were so fed up. British Airways prefer not to pay for airbridge access to the plane so we were then treated to a nice ride in an old banger bus crammed to the gills with sweaty fed up passengers all trying to avoid other peoples armpits. Once on the plane the same tiny seats, although we were winners all round as we managed to bag 1A and 1C so at least we had some leg room. The meal service on this leg really did make me giggle. The steward offered a shriveled chicken salad (leg meat skewers), or get this, a boxed sandwich. I actually had to ask if that was it? He replied ""yes"" to which I replied ""so who's eaten all the food?"" He laughed and actually said we were lucky, and if I had any food with me could he have some! And I'm not making this up. Once at LHR it took 1h for the bags to turn up by which time the Pod service to the parking had stopped (and that turned into a complete drama but I won't go there on this ocassion). So - what did we get for our Club fare to Krakow? In my opinion very little, and what we did get was rubbish. If anyone is thinking of going to Krakow with BA my advice is save your money and fly economy (with another airline), and spend the saving having fun there. In fact choose another airline since BA on this route are just a joke. I have been Club Europe hundreds of times over the last 20 years and the gradual decline in the product has now just about reached the point where once I have used up my 300K Avios it'll be Bye Bye BA for good. (I will only use Avios to get First long haul as that gets you the best return on them."
2202,False,2016-08-01,Germany,A320,Business,1.0,1,False,"The many problems I had with my outbound flight paled in comparison to my return. On arrival at T3 from another carrier I went to the BA baggage check in and was told that unlike every other major carrier in a major hub airport anywhere on the planet, BA cannot possibly transfer bags to my departure terminal, T5. The agent made it clear it could be done but that she would get in trouble. Fast Track security was woefully slow and incompetent. When I arrived at the gate boarding had commenced. Though I had purchased a business upgrade to avoid some of the horrible service I had received on my outbound flight and despite having only two carry on items and despite management's false statements in their replies to my earlier complaints that ""Our hand baggage allowance at two bags with a 23kg limit for the is also one of the most generous"", despite the fact that the flight was not full and more than half of the bin space in business class was empty, I was forced to check my bag carry-on compliant bag. The flight attendants were rather shocked about this and later apologized for the gate agent's unwarranted behavior. The flight was okay with the same uncomfortable coach seats in business class and an inedible food offering. In all a waste of money for BA's ""vaulted"" business class ""experience."" The recent Economist article about BA's race to the bottom service tier and the reneged promises made along the way speaks volumes about management's hostility towards customers and especially BA and OW elites. The asterisk on the Oneworld baggage page singles out BA as the only carrier in the group who will not allow it's own elite fliers and those on OW to have a checked bag on the lowest and only competitive fare BA offers. As the Economist article stated, loyalty is very easy to lose but extremely difficult to re-attain."
2210,False,2016-08-01,United Kingdom,A320,Family Leisure,2.0,1,False,"I flew British Airways Club Europe, from London Gatwick to Malta International Airport. I don't know why we paid double the economy fare per person as the seats are exactly the same as economy class apart from the lavish table in the middle of the 2 seats. You get a blanket, a cushion and nicer food than economy and access to the lounge, which comes with my Barclays travel deal anyway. I enjoyed the food on the plane but my sisters friend who flew with us is a pescetarian which means she only eats fish and not meat, so the crew said that's no problem and gave her a disgusting baguette with tomato, but she didn't like it and there was no other choice for her. Complete waste of money but I loved the chocolate cake - the best I've had. To conclude the BA club Europe is a waste of money because the seats are exactly the same as economy class and your paying to travel in more comfort and luxury. The Club Europe seats are a joke."
2220,False,2016-07-01,United Kingdom,Boeing 747-400,Family Leisure,1.0,1,False,"I have to be upfront and say the flight from London Heathrow to Boston exceeded expectations mainly due to the cabin crew. Over the years British Airways first has gone so far downhill I'm afraid it just can't compete anymore, it needn't be so as the issues as I see them are all resolvable. However, the return leg was like flying with Ryanair. There were only 13 people in the cabin. There were no slippers, 2 of the menu items I requested were, in the words of the crew ""invisible"", and what did arrive was verging on inedible due to sauce being lumpy and near to warm. The chocolate lava cake contained no lava and quite how one can burn and cool food at the same time is beyond me. My father waited the entire flight, having asked on 3 seperate occasions, for a headset convertor. We were not asked if we wanted to be woken for breakfast, which I then missed assuming I would be woken. There was a palpable tension between the crew, which was confirmed on leaving the flight when we overheard a member of the crew comment he was happier to get away from the crew than the passengers. Once we had disembarked the aircraft, it was a further 25 minutes before we could get in to the airport as a door had not been unlocked. Finally, we collect our suitcases, which I have to say were present when we arrived at baggage reclaim, only to find 2 of the 4 had broken wheels. BA have subsequently supplied 2 new replacement suitcases. When comparing the service / food to Virgin UC for USA and Etihad First for east bound, BA just doesn't cut the mustard any longer I'm afraid. Such as shame as the seats / bed are great, but why pay the extra £ for service and food that just isn't forthcoming or varies from flight to flight?"
2225,False,2016-07-01,New Zealand,A320,Family Leisure,1.0,3,False,"Flew Malta to London. First the plus points. Generous luggage and hand luggage allowance, even more so by being One World Sapphire member, which also allowed pre-booking of seats (including emergency exit row) at no charge and lounge access. So far so good, but new style leather seats (whilst smart looking) are hard after 3 hours flying without the ability to recline. No entertainment apart from BA in flight Magazine and inflight shopping magazine. What really lets British Airways down, though is the food and beverage service. One (albeit fresh) sandwich and a drink. No tea or coffee service and the crew fast became invisible after the meal had been served. The flight was crowded too, meaning that overhead luggage space was at a premium as the negative effects of a generous hand luggage policy came into play. On the basis of this trip, BA has declined significantly since I last flew with them, offering a very basic level of service."
2226,False,2016-08-01,United Kingdom,Boeing 777,Business,1.0,1,False,"Philadelphia to London Heathrow with British Airways in First Class. Same issue as my last post. I buy a First ticket to relax after a hard week's work and BA has upgraded a family with small children, who eat takeout food in the lounge and disturb the cabin on the plane. This situation happens repeatedly, so travelling paid First Class on BA is a total wate of money. I can do the same trip on other airlines that value their premium passengers."
2248,False,2016-07-01,Brazil,Boeing 747-400,Solo Leisure,1.0,2,True,"Sao Paulo to Heathrow with British Airways. TAM lounge at Guarulhos T3 is one of my favourites. Boarded on time, Seat 1K, cabin very empty, about 6 people in First. BA First Service is fabulous, each passenger was welcomed and spoken to individually by the flight manager which I thought was a nice touch. The BA 747s are all in my experience quite tired looking. However I will be sad to see the back of them when the 777s arrive on this route in a couple of months. The First cabin looks nice but it doesn't feel like a First Class environment. The food was at best ordinary. The menu was not very inspiring, the main course was simply dreadful, dry chicken, the whole meal was not exciting as I would expect from a First Class dinner service. Very good wine / champagne selection. Inflight entertainment poor. BA have great staff, but prices are very high across all cabins and I am sorry to say on this flight it was not worth it."
2260,False,2016-07-01,United States,Boeing 777,Couple Leisure,2.0,2,False,"We spent extra to be upgraded to First to fly from London Heathrow to Dallas Fort Worth. It was definitely not worth it. The 777 has smaller first class seats, they have expanded the number of seats, too. There are now around 20. Cabin crew were young and clearly without enough experience. Quite unhelpful and it took a long time to get meals - they have been ""taught"" to do everyone individually. That doesn't work when they have expanded the number of passengers. Cabin crew clearly felt their only responsibility was to feed us. They disappeared after lunch for many hours - until it was time for tea. Which is now a meal less adequate than it used to be in Club. Further, First Class food is far from first class. Fewer choices, and what is provided is not good. Very disappointing. First Class in BA used to be restful and the food was decent."
2269,False,2016-07-01,Netherlands,Boeing 777-200,Couple Leisure,1.0,1,False,"British Airways flight from Amsterdam to London in an Airbus 320, nothing special about this club europe, seats and legroom are similar to economy class, but they do not sell the middle seat in business, I would not buy a business class ticket for only club europe, it is not worth it. I do not understand why everyone is so excited about the lounge at T5, this is the third time I have been there, it was packed with families with screaming kids and you almost have to fight for a seat, that can not be the purpose of a business class lounge. Onboard we quickly found out that this was a very old plane, dirty carpet and torn upholstery on the seats. Food was poor, dirty cutlery that we had to keep if we wanted a dessert. I took a glass of wine with my dinner, when I asked for a second one I was told that they were out of that one, finally after fifteen minutes he came back with a new bottle. The crew did not make us feel that we were valued customers in business class. BA club world is not value for money."
2271,False,2016-06-01,United Kingdom,,Solo Leisure,1.0,1,False,"London Heathrow to Budapest with British Airways. I did not choose BA for this flight. It was arranged by my cruise tour operator. Online check in ok. Bag drop agent surly and unhelpful. Terminal 3 lounge chaotic. Tables grubby and cluttered with dirty plates and glasses. At 10.00am in the morning the only food available was stale croissants. Servers in the lounge unhelpful and reluctant to produce champagne when requested. Boarding process was the BA chaos I have come to expect. Why do BA gate staff show so much resentment towards premium passagers. New club seating is atrocious. No better than economy with centre seat empty. No drink offered on boarding. Economy passagers access past club section via a very narrow aisle most carrying or dragging oversized cabin baggage. Late take off due to mix up over economy seat allocations, and late arrival of passengers needing wheelchair assistance. Seat very uncomfortable. Little legroom and too much recline available to seat in front. The only saving point was the cabin manager whose hardwork and helpfulness was not matched by her workshy crew. Where do BA recruit such useless staff, and are they specially trained to have no customer focus? BA is certainly not my airline of choice. Many lessons can be learned from their no frills competitors."
2280,False,2016-06-01,United Kingdom,A320,Business,1.0,3,False,"Zurich to London Heathrow with British Airways. The lounge at Zurich was fine. Reasonable selection of food and booze albeit a shared lounge. Given the number of flights on this sector one wonders why BA could not have a small personalised set up. But we are talking about BA where nothing is ""normal"". Flight was rammed. I doubt if you could get a field mouse on the plane it was so full. The plane left 25 minutes late - but with a couple of gin and tonics on the way I could not care less. Seats, the usual cramped 3 into 2 configuration that is unique to BA regional business class. A lousy set up. FA's were very friendly and provided great customer service. I complained about the high numbers of economy passengers hijacking the Club Europe WCs. I am not a snob by any means - but given I paid about £450 - one way for the ticket, surely ease of use for the loo is not unreasonable. FAs were sympathetic and I filled out a complaint card. All in all not bad, apart from the miserable seat and not being able to get off the plane quickly."
2295,False,2016-06-01,United Kingdom,Boeing 767,Couple Leisure,2.0,2,False,"We travelled on BA 633 from Athens on 12th of June, 2016. The flight departed at 7.55 pm but sat on the tarmac for 30 mins due to bad weather at London. Nonetheless, we only got in 15 minutes late. What went wrong from the very beginning was the check in process. We had showed up early but was refused check in at Club Europe. The ground attendant at Athens was incredibly rude and abrupt. If they had explained it to us nicely, we would have been fine with it. The result of the two hour before flight check in resulted in chaos and long lines given the fact that it was a 767 – a larger than usual plane. When we finally lined up, it took a good 30 minutes and more to check in at Club Europe because for half that time, there was only one counter open. Eventually, a second counter opened but a young couple jumped the queue by using the excuse that she was pregnant (unheard of policy and she was perfectly healthy given how fast she rushed up) and that was allowed by the ground atttendants despite the long line-up. Eventually we got to the plane only to find a ridiculous two tier Business class system that stretched into the economy section without any separation of any kind. Seating became problematic as those assigned to the windows on each side had smaller spaces, and in fact were no more bigger than the economy class. The middle seats were fine as passengers there had the empty middle seat. British Airways were passing off economy seats as business but though the service was different – you couldn’t properly enjoy it. We were placed on the last row of Business class (14) and these were three seats stretching into the economy class cabin. It was so confusing that the crew tried to serve economy class food to our end. To be fair, I think other business class passengers had it more unfortunate in their seat assignments. Furthermore, when asked for a blanket, I was refused one on the basis there was none until I walked into the upper cabin and found that business class passengers there had blankets. How is this fair? What principle of seat assignment did they use? The last few BA trips to Europe have been nightmarish, from boarding processes (this one in Athens was chaotic and unsystematic, they had allowed everyone to rush forward thus blocking the pre-boarding process). We were assigned different seats far from each other and not according to our preferences in our Exec Club, the online check-in keeps breaking down and when we tell BA that, they tell us to call in (laugh out hysterically here). In fact the more frequent you are a flyer (but not high profile), the worse treatment you get. I also get a sense that communication between the crew is poor given that different services were offered (later on, the Cabin director told me she could find a blanket for me but we were already 30 mins from landing). I cannot blame the crew, they work with what they get.  If we knew we were going to be treated no better than economy, we would have booked economy."
