,Unnamed: 0,verified,month_fly,month_fly_num,year_fly,month_year_fly,country,type,route,ground_service,money_value,recommended,review,origin,destination,transit
1511,1513,False,September,9.0,2017.0,2017-09-01,Greece,Business,Athens to London,1.0,3,no,"Athens to London. Slowest baggage drop service I have ever experienced. I spent a whole hour waiting to drop my bag (queue for people who have already checked in). I seriously do not understand how they can be so slow. People have already checked in, they just need to leave a bag. The company really needs to look after their processes",Athens,London,
1522,1522,False,September,9.0,2017.0,2017-09-01,Australia,Couple Leisure,Reykjavik to London Heathrow,1.0,1,no,I booked British Airways to travel under the assumption it was a quality carrier not a low cost carrier. I expected a meal and baggage to be included. I was unaware of the brand changes and was very disappointed after I booked. This airline is no longer quality with the prices they charge. Expect a budget airline experience here. Staff were very friendly and helpful however. Pilot also chatty throughout the flight giving us lots of info.,Reykjavik,London Heathrow,
1546,1546,False,September,9.0,2017.0,2017-09-01,United Kingdom,Solo Leisure,Rome to London,1.0,1,no,"Flew Rome to London Gatwick. Big disappointment, I paid £180 to fly with British Airways just for one way and the plane was delayed two hours and 41 minutes because of late arrival of another aircraft. Instead of arriving at 21.30 we landed almost at midnight. No refreshments were offered, nothing. The customs queue was massive, I got home at 3.00 in the morning. I decided to pay extra for BA instead of flying Ryanair and it was a huge mistake. Even the air conditioning in the plane whilst still on the ground did not work. BA is not worth the extra money. Staff did not speak a word of Italian.",Rome,London,
1554,1554,False,July,7.0,2017.0,2017-07-01,China,Couple Leisure,London to Keflavik,1.0,1,no,"London to Keflavik. British Airways lost one of my bags on our way to Iceland for a week long vacation. This is understandable, bags get delayed all the time. However, when I attempted to contact British Airways concerning my delayed bag and to ask for help with getting a hotel room, I was disconnected multiple times and given contact numbers that turned out to be fax numbers. The delayed bag contained our sleeping bags and tent for a one week camping trip. Not knowing if we could be reimbursed for a hotel and seeing that hotels in Iceland cost upwards of $200 a night, we were forced to sleep in our rental car until the next day when we were able to rent a tent. Since making my claim for reimbursement, British airways has done everything in their power to avoid reimbursement. I have been told my partner who purchased the tickets must fax written permission for me to handle the claim even though the baggage was under my name, paid for by me, and all costs for tent rental and toiletry items were paid with my credit card. It is shameful that a company can operate this way and treat people so poorly. I urge you to avoid at all costs!!",London,Keflavik,
1555,1555,False,August,8.0,2017.0,2017-08-01,United Kingdom,Couple Leisure,Tokyo Haneda to London,2.0,2,no,"Tokyo Haneda to London Heathrow. This was the return leg of a code share flight with JAL. I flew JAL on the way out and the service was superb and meals delicious. On my return I felt embarrassed that BA is our national airline, mainly due to the absolutely abysmal meal quality. White fish consisted of 3 tiny pieces of 'fish' surrounded by a brown, fatty unidentifiable, flavourless mass. The tiny token broccoli was a greenish brown mush. Service was efficient, bordering on perfunctory. Luckily we brought some other food on board. Please BA, either do away with long haul meals altogether as mooted and declare your budget airline status or serve more appetising, less embarrassing fare. You can't stay 'stuck in the middle' for long!",Tokyo Haneda,London,
1556,1556,False,August,8.0,2017.0,2017-08-01,United Kingdom,Couple Leisure,Rome to London,1.0,1,no,"Absolutely appalling airline. Would definetly not recommend. Flew Rome to London Heathrow. Compared to the likes of Qatar, Emirates and Qantas they do not come close. I will never travel with British Airways again. Flights delayed from London to Rome by over 1hr, between 2 captains they could neither take off or land smoothly in perfect conditions. The food is shocking and over priced. The planes are out dated. There stewards and stewardesses are rude and unprofessional compared with the professionalism of other airline staff.",Rome,London,
1558,1558,False,August,8.0,2017.0,2017-08-01,United Kingdom,Business,Zurich to London Heathrow,2.0,2,no,Flew Zurich to London Heathrow. I have flown 14 times with British Airways in the last 5 months. I've seen a noticeable degradation of service. Flights are frequently late or cancelled and the staff are worn down. They were once smart and full of energy. Sadly they seem to have lost their pride. A huge shame.,Zurich,London Heathrow,
1563,1563,False,August,8.0,2017.0,2017-08-01,United Kingdom,Couple Leisure,Nice to Heathrow,1.0,2,no,"Nice to London Heathrow. You must downgrade your rating of British Airways if you truly reflect how bad things have become. Flight delayed, that happens I accept, but the BA ground staff handling was awful - to the point of zero in reality. Once boarded and fighting for overhear bin space, pilot did give a polite and nice apology, but the cabin staff service (that has always been their stronger point) was terrible. Aside from the fact 2 stewards smelt as if they had poured a complete bottle of aftershave over their heads (most unpleasant in a confined space), their service to us lowly passengers was condescending and rude. They seemed intent with making stupid faces and snide comments about some passengers in full hearing of many of us, and that is just not acceptable. Sadly they were almost stationary in the aisle trying to sell food and drinks and we had to suffer long periods of such rudeness. BA management should be fired, or at least the CEO, Mr Cruz, who is destroying our national airline. I'm not a grumpy old man, just a customer with over 50 years experience of flying British Airways (and BOAC and BEA), and a direct witness to the demise of what was a great airline.",Nice,London Heathrow,
1566,1566,False,August,8.0,2017.0,2017-08-01,United Kingdom,Couple Leisure,Toulouse to London Heathrow,2.0,2,no,"Toulouse to London Heathrow. This airline will one day get its comeuppance for posing as a quality flag carrier (it has to be said, no expense is spared on its branding) while operating as a cheap and sleazy budget airline, thanks to the rationale of its greedy and cynical new management. I have Bronze status with BA Executive Club, have flown a dozen times over the past year (both in Business and in Economy) and am increasingly irritated with myself that I chose to collect points with this particular airline. I was caught up in the IT meltdown in May (flying from Rhodes to London), and I was one of the lucky ones (who doesn't remember those surreal news reports of passengers stranded all over the world for 4 days?). I had to purchase a new ticket on a charter flight from Rhodes airport when my flight was cancelled (along with hundreds of other BA flights in May); this (incidentally: ghastly TUI) replacement flight arrived so much later than the flight I booked that I lost my pre-paid hotel booking at the airport, which the airline refused to refund when I lodged a claim. The airline only refunded me for my cancelled flight and my new flight, along with EU compensation, after I sent a second email a month after my first claim, as they simply neglected to raise a cheque for me, according to the customer agent. Their customer service is beyond atrocious. I suspect they swear company oaths never to genuinely apologise for BA failings (all you get is ""bear with us, we're trying really hard""), lest actually saying sorry should incur legal liability. I am unfortunately due to fly with them again at the end of the month to Belfast, and after two calls to their contact center (based in India, with a poor connection and amateur communication overall) still do not know if my travel companion will be allowed to travel on a domestic flight as a Canadian citizen without a UK ID document. The customer agents I spoke to gave me contradictory answers, which, in turn, run contrary to the (almost non-existent) information provided on their website. On the flights I have booked which have actually taken place, I have by turns found myself stuck along with fellow passengers on the tarmac for an hour and a half in BDX when the plane lost its takeoff spot, having waited for delayed passengers (would they admit this was their fault? Nope, it was all air traffic control's fault!), been held on the tarmac in TLS for an hour whilst they sorted out luggage which had mistakenly been put on our plane, retrieved a used bottle of rancid baby milk from my Club seat (no apology from the flight attendant who seemed annoyed at having to handle it), sat in a seat totally encrusted in potato chips apparently used as confetti by a previous passenger and found myself wedged between totally drunken and abusive passengers in Club and a scolding flight attendant threatening to have them arrested on arrival. As I mentioned, I have been one of their luckier passengers.",Toulouse,London Heathrow,
1573,1573,False,August,8.0,2017.0,2017-08-01,Egypt,Solo Leisure,Cairo to Montreal via London,1.0,1,no,"Cairo to Montreal via London. 7 days I'm waiting my baggage. absolutely no information from British Airways. Customer services in India and they cut off conversation often. No contact With British Airways, you paid full price for a low cost service. Absolutely no customer consideration. Heathrow is a nightmare for baggage.",Cairo,Montreal,London
1574,1574,False,August,8.0,2017.0,2017-08-01,United Arab Emirates,Family Leisure,London to Chicago,1.0,1,no,"London to Chicago. I am a BA Gold member and reserved three BA business class tickets to Chicago returning from Denver. I selected contiguous seats so that my young daughters and myself would sit together. A week before departure, I received a message from BA informing me that our flight was cancelled and that we were moved to an earlier flight on the same day. On the departure date, we checked smoothly at the business class counter at LHR. The fast track boarding pass reader let us through without a problem. The lounge attendant, however, curtly dismissed us as having economy class boarding passes. I checked and it was true, but I had not suspected it at all till that point, since I had paid for business class, believed that everything was in order and was not told otherwise at check-in. The customer service agent at the lounge told me that there was nothing he could do since it wasn’t him who downgraded the ticket! I spoke to the manager who apologized and tried to search for seats on subsequent flights, but they were all full. He could not confirm if BA had any intention of compensating us for the downgrade, he had no explanation for why BA did not give us any other option with business seats despite canceling the flight a week in advance, nor did he acknowledge that BA had made any mistake in this ordeal. However, he did contact the crew and informed them of the situation. We ended up traveling in economy class. To add insult to injury, the airline was unable to place us next to each other, so the family was split (seven rows apart). However, the crew was nice and allowed us to leave the aircraft first. They almost seem to work for a different company when compared to the incompetent ground staff.",London,Chicago,
1575,1575,False,August,8.0,2017.0,2017-08-01,United Kingdom,Business,Nice to London Heathrow,1.0,1,no,"Nice to London Heathrow. I had to fly to Nice and back for work. Booked through the Company travel Agency. Extra bag added both ways. I wanted to fly back to LHR earlier so my Travel Agent rebooked the earlier flight at a cost of 371 GBP. When I arrived at NCE the Ground Staff refused to acknowledge the extra bag, saying that it was for the earlier flight. I stood my ground, but the Head of Check in told me if I wanted to fly I had to pay 75 EUR which I did under duress. I had prebooked my seat as Silver to find out at the gate that it had been changed to a middle seat which I loathe as the 767 is claustrophobic. I asked for my bags to be offloaded and I would travel on the next flight as is my right to do so there was a standoff at the gate.  The trend for BA in their spiral to the bottom is to outsource Check in Staff who have no comprehension of the BA system, combined with an arrogant ignorance that means I will not be choosing this airline again. I have one more flight with them next week and that's it. I paid almost 1100 pounds to get to Nice and back today, in economy, I was greeted with disdain by Ground Staff, the Crew on board were utterly miserable as they get to grips with the fact that they are now a junk airline who, despite the high prices, have the audacity to charge 7 pounds for a gin and tonic. Aircraft are tired and worn. Toilets stink. Please do yourself a favour and book someone else.",Nice,London Heathrow,
1581,1581,False,June,6.0,2017.0,2017-06-01,United Kingdom,Couple Leisure,Athens to London,2.0,1,no,"British Airways is quickly becoming a low quality, low cost services, but premium priced airline. Apart from removing food from their services and replacing it with Marks & Spencer buy-on-board menu, on that particular flight, they even managed to run out of food for those who were willing to pay. It was impressive to see so many passengers having and expressing the same opinion: next time we'll just fly another airline, that reflects that quality of service into the ticket prices. This came only a month after the major ""IT failure"" that grounded all BA flights for a weekend. The only thing they have left is safety - if they lose that, then it's over.",Athens,London,
1584,1584,False,July,7.0,2017.0,2017-07-01,United States,Family Leisure,Bucharest to London,1.0,1,no,"Bucharest to London, which takes 3 hours. This is my second bad experience with BA. If you want to eat something, then you have to pay for it. They did not offer me a glass of water. My first experience was when I flew from Miami to London on June 10th and that flight was delayed for 3 hours. The ground transportation from one terminal to another is awful also at Heathrow Airport.",Bucharest,London,
1590,1589,False,July,7.0,2017.0,2017-07-01,United Kingdom,Business,Budapest to London,1.0,1,no,"The flight from Budapest to London was delayed by 22 hours, during which time British Airways offered nothing (no help with hotel reservations, despite limited hotel availability due to the World Swimming Championships, no food, no transport to and from the airport). In fact, BA doesn't even have a representative in Budapest, having outsourced it to a Hungarian agent (who did their best in the absence of any input from BA). Even the customer service desk I phoned was answered from India (also outsourced). When the flight finally took off, we could not even buy food on the plane. We were told that a BA representative would meet us at our Heathrow arrival gate to give us food vouchers, but he / she wisely didn't show up, because I, for one, was looking for a voucher for 24 hours of my life which I won't get back rather than some airport food vouchers. I have flown several times a month for the last 40 years with many airlines, and have never been treated as badly. I will be flying ABBA (anything but BA) from now on.",Budapest,London,
1591,1591,False,May,5.0,2017.0,2017-05-01,Singapore,Solo Leisure,Singapore to Newcastle via London,1.0,1,no,"Singapore to Newcastle via London Heathrow. Terrible airline. Avoid at all costs. Was affected by the global IT outage during the bank holiday weekend. Had to wait in line two hours to get a new ticket. They were terribly slow. After the whole episode, I wrote an e-mail requesting compensation for the flight delay & my misplaced baggage. It's now July 2017 and I still have not gotten back my monies. Extremely poor customer service. Wrote e-mails twice chasing them for the refunds. They said they will check. That was more than a week ago and haven't heard from them yet. As for the flight experience, poor. They have become so budget that they do not even provide necessary toiletries like toothbrush for long haul flights. In-flight entertainment was also poor, very limited selection of movies.",Singapore,Newcastle,London
1592,1592,False,July,7.0,2017.0,2017-07-01,Germany,Business,Bergen to London Heathrow,2.0,1,no,"Bergen to London Heathrow. I was a Gold executive member for years and raved about BA. Sadly that has hugely changed. This year I flew from London to Frankfurt with my daughter and we had to buy food on board. I found this highly irregular, especially for a mainstream airline. Today I flew from Bergen to London and again experience ended this! This is disgusting! BA charge way higher prices than others and very much more than the cheapie lines and now also charge for food in economy.  The entire executive team should be fired. And BA have lost another client!",Bergen,London Heathrow,
1594,1594,False,July,7.0,2017.0,2017-07-01,United Kingdom,Family Leisure,London Heathrow to Sofia,1.0,1,no,"Flew from London Heathrow to Sofia. I have been flying British Airways for over 40 years and they are truly awful now. I see no difference now with easyJet or Ryanair. The main difference with BA now is the rudeness and sheer unprofessionalism of staff I encountered. Everything in T5 is now self service including bag drop. Paid food, etc.",London Heathrow,Sofia,
1595,1595,False,August,8.0,2016.0,2016-08-01,United Kingdom,Solo Leisure,London to Frankfurt,2.0,2,no,"Flew last week London to Frankfurt. No light refreshments complimentary, crew busy operating Card terminals etc, makes less time to be nice to passengers. Then asking what was complimentary informed ""tap water"" and it came no ice or offer.  On the return I was given a mid seat, asking if there was a free aisle I was told no. Waiting till all boarded I sat in a free aisle. The airline continues to pretend to have high standards but it slips further and further into the depths of I will book with BA if no other airlines available.",London,Frankfurt,
1597,1597,False,July,7.0,2017.0,2017-07-01,United Kingdom,Couple Leisure,London Heathrow to New York JFK,2.0,1,no,"We did a return trip from Heathrow to JFK and there were only two good things about flying British Airways, you can use the entertainment system from the start and we liked Terminal Five at Heathrow. The rest was disappointing. The outbound flight was completely full so it was delayed in departing, you would expect them to have known this so they would be able to prepare and ensure that the flight left on schedule. There was no apology. The return trip was also late in departing but was quicker than expected so cannot complain. There was only one inflight meal and the only other offering was a bag of crisps or an 18g chocolate bar. It felt like being in school. Cabin crew weren't overly friendly on either journey. Inflight entertainment was fine, lots of films both new and old to watch. We would usually fly Emirates or Virgin but decided to fly BA to give it a go. If you have similar thoughts, don't do it. We won't be flying with BA again, they are not worth it. It is very British - elitist and inefficient.",London Heathrow,New York JFK,
1598,1598,False,July,7.0,2017.0,2017-07-01,United Kingdom,Business,London Heathrow to Berlin,1.0,1,no,"London Heathrow to Berlin return. Will be taking anything but BA flights from now on. Arriving at Berlin check in with only handbagge one of my party was told rudely that she had to check in her baggage despite that it contained fragile items. Another of my party did want to check in her hand baggage and was told no. Both times the ground staff were inconsitant, rude and uncooperative .I was allocated a window seat despite a request for an aisle seat. The new seat configuration is so narrow now I could not get into the allocated seat as I have a replacement knee which does not bend enough to get to the seat. Fortunately one of my party swapped with me for an aisle seat. I put a small plastic bag with fragile items in the overhead locker, the steward, without telling me or consulting me, moved it. When I queried this I was told ""Madam,  I know what I am doing I have done this before"". I am 71 years old and I refuse to be so patronised so I was ready for a stand up row by this time. Fortunately a lovely stewardess with this guy saw my face and jumped in with a jokey remark which save the situation. No food left at the back of the plane as usual. Why on earth are we paying premium prices for such appalling customer service? If I want a budget flight I will use EasyJet anytime.",London Heathrow,Berlin,
1601,1601,False,July,7.0,2017.0,2017-07-01,United Kingdom,Business,London to Brussels,2.0,2,no,"London Heathrow to Brussels return. Through work I have to fly frequently and am firmly of the opinion that a BA flight is to be endured rather than enjoyed, even in the premium cabins. If your timing is right the prices reflect this, that is before the “add-on’s”. So be prepared to get on last, be prepared to be given the middle seat on the last or second to last row, and eat and drink before you board – unless of course you are happy to pay more. That way if you get an aisle seat or are allocated the third to last row up, it’s a win. Any flights longer than a couple of hours I strenuously avoid BA if I can - a shame because in some ways I grew up with BA (back in the days of BOAC and BEA). Having said that the flights to and from Brussels were OK in a full aircraft either way.",London,Brussels,
1602,1603,False,May,5.0,2017.0,2017-05-01,United Kingdom,Business,Krakow to London,2.0,2,no,"Krakow to London. Got us there fine. My main issue is the food service. I was sat in Row 21, probably 3/4 of the way back. It was an evening weekday flight,so everyone tired & hungry. Their new M&S service was a disaster. The flight was just over 2 hours. It took 1 hour for the single food trolley to make its way to my row. By the time it arrived all that was available was a KitKat and some other sweets! They had already run out of sandwiches / hot food. It took a long time because each customer had to pay using credit card - and the machine seemed to keep on having problems. Also the variety on the new M&S menu - whilst generally a good thing - meant the staff kept on running back to the galley to replenish (clearly still not enough stored). Have to say this services is no better than Easyjet & I will think twice about travelling with BA. If it wasn't paid for by work I would not have travelled with them. The service has gone downhill over the years which is a real shame for a national carrier.",Krakow,London,
1611,1611,False,February,2.0,2017.0,2017-02-01,United Kingdom,Couple Leisure,New York JFK to Manchester via Heathrow,1.0,2,no,"New York JFK to Manchester via Heathrow. Budget airline trying to retain a big name brand. Flight was cancelled then booked then delayed. Aircraft was diverted to Liverpool whereby the passengers were subsequently abandondoned. Poor quality, no aftercare and BA customer service extremely poor in responding to complaints, when they eventually did the shrugged it off as ""Not their problem"". Disappointing and won't be flying BA again.",New York JFK,Manchester,London Heathrow
1624,1624,False,July,7.0,2017.0,2017-07-01,United Kingdom,Solo Leisure,Belfast to Munich via Heathrow,1.0,1,no,"Belfast to Munich via Heathrow. Today (4th July) I found I needed to change a travel date from 7th July to 6th July.  I attempted to do this on BA's ""Manage My Booking"" for about 2 hours and, although I selected 4 different flight times, each time I thought my booking change was completed (at an extra cost of £156-199 + seat costs), I was told that my changed flights were fully booked, even though my booking included purchase of seats shown as available (quite a few). So. I contacted BA's Customer Services by phone and waited for about 20 minutes for an agent who, after saying hello and providing his name, promptly lost me. So, another 20 minutes later, I spoke to another (very caring and helpful) BA agent and she told me the only available flight changes would cost me almost +£500 onto my £218 ticket! I could have booked a new return ticket for a lot less! I am hugely unimpressed by the additional charge by BA when all the work is by me and on-line and BA can re-sell my Friday flight; the time I spent going around in circles, online, to end up with nothing and having to phone Customer Services; and  the time it takes to get though to Customer Services who, clearly, are insufficiently staffed, over-worked and with limited capacity to really help. BA - you are in serious need of a makeover and self-examination to have customers, such as I, consider using you again and not tell everyone to avoid you and write reviews such as this.",Belfast,Munich,London Heathrow
1626,1626,False,July,7.0,2017.0,2017-07-01,Spain,Couple Leisure,London to Barcelona,1.0,1,no,"London Heathrow to Barcelona. I thought it would be better than a low cost airline, but it is not. In fact it is quite worse, so if you have a cheaper option, do not hesitate to go with them. The flight is full and they say you can only take on board a backpack to put under your seat but not the bag trolley. Rude people and ridiculous rules, a company living in the past century.",London,Barcelona,
1627,1629,False,June,6.0,2017.0,2017-06-01,United Kingdom,Solo Leisure,London to Dubrovnik,1.0,1,no,"London to Dubrovnik. Interesting that BA have dropped the ""to fly to serve advert"" Boarding was the usual unorganised shambles. Selling hand luggage only tickets only adds to the scrum in trying to place a modest size bag in the overheads. No less than three couples came on with oversized bags. In one instance, it took 3 people to lift a bag into the overheads, coming dangerously close to dropping the bag onto to the heads of seated passangers. When complaints were made to cabin crew, the response was ""they are entitled to bring hand luggage"" The trolley sales of refreshments took an inordinate time. Most of the choices were unavailable. Cabin crew frequently gave the wrong orders, and had great difficulty with the automated card payment system.. Would strongly recommend taking own food on BA short haul flights.",London,Dubrovnik,
1629,1628,False,July,7.0,2017.0,2017-07-01,United Kingdom,Couple Leisure,Stockholm to London Heathrow,1.0,2,no,"Stockholm to London Heathrow. Shabby third party lounge in Stockholm. Very tired 767 aircraft. Buy on board service took ages. Crew were funny raising an eyebrow at BA's new low cost carrier concept in Europe with the expensive buy a sandwich on-board. BA are one rung about Ryanair and on par with Easyjet when it comes to customer service and delivery. Such a shame, what's happened to them. Convenient flight times and LHR departure is as good at it gets I'm afraid.",Stockholm,London Heathrow,
1633,1633,False,June,6.0,2017.0,2017-06-01,Australia,Couple Leisure,London to Zagreb,1.0,1,no,"London to Zagreb. British Airways lost my luggage on the 20th June and here I am on the 30th still trying to get some information. We came across the most ridiculous customer service agent on the 21st who advised us we were unauthorised to be enquiring about the claim because we weren't providing the correct information. When we asked him what information was incorrect he would not proceed with our call. On the 6th day when we were back at the airport to fly out we were told that the bag was delivered to our temporary address the day before, what a mess! We were told that they would try to get it on the last flight and that they would call us, when we arrived at Heathrow we went to the customer service desk to ask where we could get some information and the lady would not even let us in the line because 'there is no such thing as a place to follow up missing luggage, if you make a claim you need to just wait for a phone call. I never heard from anyone. We are back home now in Australia and I have just called to follow up the bag to which I was advised that the claim has been closed. Now I need to wait for the claim to be reopened and wait another 72hrs to get an update. Not once have we received a call from anyone, our phone bill is over $800AUS due to the amount of calls we had to make. I suggest British Airways take a good hard look at how you treat your customers who spend a hell of a lot of money to fly with your airline and take in to some consideration how you would feel being on the other side of the world with no luggage for 10 days. Absolutely disgraceful.",London,Zagreb,
1636,1636,False,June,6.0,2017.0,2017-06-01,United Kingdom,Business,Frankfurt to London Heathrow,1.0,1,no,"Frankfurt to London Heathrow. Three bags belonging to self and colleague checked 26 June at Frankfurt on the 1720 flight to London, 2.5 hrs before flight. Flight arrived in London (40 mins late) and 1 of 3 bags appeared on carousel (a business flight with virtually no checked baggage on it). Courteous Customer Service personnel in Baggage Hall took details - noted that ""Baggage had not been loaded"". Promised that bags would be sent on first flight the next day and should be delivered to our office by 12.00 noon. Nothing, and still waiting for delivery at 1510 three days later. How and why 1 out of 3 delivered, and why 48 hours for delivery?",Frankfurt,London Heathrow,
1641,1641,False,June,6.0,2017.0,2017-06-01,United Kingdom,Couple Leisure,Rome to Heathrow,1.0,1,no,"Rome to Heathrow flight on the 23rd June delayed take off over 6 hours due to technical fault. Minimal information and absolutely no customer service or support. No refreshments provided. The only information we received was when the captain came of the aircraft to tell us what was happening, he was the only one who cared. BA support and service in Rome was non existent. After take off the cabin crew came around with their trolley of drinks and unbelievably I had to pay £2.30 for a cup of tea despite a 6 delay with no refreshments provided. BA is now an overpriced budget airline with no service focus, actually thats unfair to budget airlines who provide much better service. BA has lost the plot.",Rome,London Heathrow,
1646,1646,False,May,5.0,2017.0,2017-05-01,United Kingdom,Couple Leisure,Heathrow to Santorini,1.0,1,no,"Heathrow to Santorini. We were at the gate when BA cancelled our flight. We could not get booked on another flight and we got told to go home without our luggage. It took them 4 days to return it. BA will not reimburse us the cost of the flights at £1,200 or the cost of the hotel at £2,000. This is a total disgrace. How can they be allowed to do that? Book with another airline to ensure you actually arrive. Never experienced such bad customer service and refusing to refund our money is outrageous.",London Heathrow,Santorini,
1648,1648,False,June,6.0,2017.0,2017-06-01,United Kingdom,Solo Leisure,London Heathrow to Dublin,1.0,2,yes,"I had an early morning flight from London Heathrow to Dublin to attend a memorial service in Ireland. The check-in process seems to have been automated and I am not impressed. I saw an elderly Chinese couple struggle with the computers and a uniformed staff member in BA uniform walked away and ignored them. I intervened and assisted. The interior of the aircraft was spotless. However, there was no catering per se other than a to buy Marks and Spencer items. No cash was accepted and the staff were very embarrassed. The cabin crew were lovely people and deserve better than to have the name of a once proud national carrier reduced to such a miserly product. Arrival was punctual.",London Heathrow,Dublin,
1650,1650,False,June,6.0,2017.0,2017-06-01,United States,Business,London Heathrow to Paris Orly,1.0,1,no,"London Heathrow to Paris Orly. I have been a gold member of BA over 25 years making approx 100 flights per year We have been through ash clouds, strikes, IT breakdowns and weather and of late the spiral of poor response has picked up pace. I didnt think it could get worse but it did. Arrived at the airport and my app said on time, screens said on time but my independent tracking app said 3 hours delay. In the first class lounge I was told short delay. Knowing how inaccurate BA can be I asked to speak to special services. One hour later I asked again. I got an arrogant manager who lectured me that she was only two on duty, take it up with Alex Cruz and there were more important flyers like royalty and celebrity. Unimportant is how I felt after 25 years of Gold guest list. She then told me the flight was cancelled and said I would have to either accept the flight the next morning or make my own arrangement .Staff didnt know how to get people out of the airport and despte flights on time for Charles De Gaulle no alternative was offered. I had to concede and cancelled critical business discussion and then beg BA for a refund which they tried to sidestep. The moral of this story is when your gut tells you trust has gone believe it and at BA it is systemic lack of honesty and transparency and it all points to the CEO. The other interesting fact is I did look at choices before booking including Easy jet <100 pounds Air France 500 pounds and foolishly I felt loyalty meant something. Not at this airlin . The salt in the wound is that Easyjet and AF got to their destination on time and no doubt executives on those flights are enjoying a good business day in France. It is incredible that one airline who carry's the British flag is such a disgrace. I am sure that a small percentage are satisfied but looking at the chaos and disbelief in the lounge last night echoes the most common phrase heard in airline speak. What has happened to BA and we wont fly them again.",London Heathrow,Paris Orly,
1652,1652,False,May,5.0,2017.0,2017-05-01,United Kingdom,Business,London to Hamburg,1.0,1,no,"Flew London to Hamburg. I cannot believe that an airline like British Airways have to compete with the likes of Ryanair and EasyJet and stopped complimentary cabin services - no drinks, no snacks. They should be ashamed of themselves to put themselves a class on par with low cost airlines.  I am now cofused why I should ever fly British Airways vs Low Cost Airlines. I was recently also flying on Club World. My luggage was tagged priority. But waited on arrival for over 30mins - non priority bags came out mixed with priority - British Airways policies and operations are clearly confused and it's losing its edge as a world reknowned airline.",London,Hamburg,
1656,1656,False,June,6.0,2017.0,2017-06-01,France,Business,Dublin to Marseille via London,1.0,1,no,"I arrived at London Heathrow in transit with a British Airways flight on to another BA flight. The aircraft was there, still boarding, my bag was checked-in for my final destination but I wasn't! They forgot to check me in for my full journey at departure. They didn't let me board, and made me stay overnight. I have never seen such level of stupidity, bad management and poor service.",Dublin,Marseille,London
1681,1682,False,June,6.0,2017.0,2017-06-01,United Kingdom,Couple Leisure,London to Johannesburg,1.0,1,no,"London to Johannesburg. After getting caught up in the chaos of the bank holiday weekend IT fiasco and the lamentable way in which the situation was handled by BA, I approached my flight back to the UK with some trepidation. My fears were not unfounded. As the aircraft had been sitting at JNB for most of the day, there were no delays and boarding started very early. I was seat 83A (top deck, double seat) and the leg room was no better than you would find on a Ryanair flight to Dublin. Indeed, due to the location of the electronic equipment box under the seat, it was a little more cramped. The service on BA flights really is terrible. I, along with many other passengers, was treated like an inconvenience and I felt the cabin crew would really have preferred it if we weren't there. I was close to the galley and sleep was pretty much impossible due, in part, to the cabin crew gossiping loudly about other members of staff. I will do everything I can to avoid flying BA in the future.",London,Johannesburg,
1683,1680,False,June,6.0,2017.0,2017-06-01,United Kingdom,Business,London Heathrow to Lisbon,1.0,1,no,"British Airways seems to be going from bad to worse. On my London Heathrow to Lisbon flight, the card machine didn't accept American credit cards so the gentleman next to me couldn't pay for his drink. The length of time it took the flight attendants to reach the back of the plane meant most people weren't offered anything to eat or drink until 30 minutes to landing. The flight attendants were very apologetic but you feel that they themselves are fed up and seem genuinely embarrassed to be working for BA. Return flight was delayed by 40 mins which seems to be a running theme with this airline. They are no better than the budget airlines but with anything other than budget prices.",London Heathrow,Lisbon,
1684,1684,False,June,6.0,2017.0,2017-06-01,United Kingdom,Couple Leisure,Edinburgh to Rome via Heathrow,1.0,1,no,"Edinburgh to Rome via Heathrow. I have been either BA Gold or Silver for many years , the last 2 years I was in Texas but ensured my return to UK that flights were always BA and the same for my family who visited. in July 2016 I returned to UK for business and had to stay until Jul 12th, I was 3 points off retaining get Gold if I had flown back on 11 July I would have retained Gold. I had enquired about this before making the booking and was told this will not be a problem, however I was duly downgraded to Silver. I then booked a holiday in Rome for my wife and myself and I was amazed that BA have removed the free in flight drinks not even a free cup off tea ! If BA wish to behave like a budget airline then they should charge flight prices comparable to a budget airine. They have in the past left me stranded in Moscow for 5 days when snow closed Heathrow, yet BMI were still flying into Heathrow, I have encountered rude staff on check in, long queues even for Executive members. They are no longer living up to their acclaimed standards and are not a 4 star airline and should lose that status, I will in future fly Brussels Airlines and Lufthansa or Internal UK Easyjet. They are living on their past and need to start to realise with no passengers they will not stay in business and with unhappy customers who have to use them they will let get poor reviews. If BA wish to be a budget airline then start charging like one",Edinburgh,Rome,London Heathrow
1693,1695,False,May,5.0,2017.0,2017-05-01,United Kingdom,Solo Leisure,London Heathrow to Geneva,1.0,1,no,"Flew British Airways from Heathrow to Geneva. Cheapskate airline now. Only tap water available, everything else needs credit card. American family with hungry young boys couldn't buy anything for them as their machine wouldn't take US card. Return flight cancelled after 4 hours on tarmac with the IT crash. Staff brilliant, including pilot who kept ac on and updated us regularly as much as he could. Then BA ticket desk unmanned in Geneva airport, so queues just standing. We were lucky to find swissair flight home or I think we'd still be there!",London Heathrow,Geneva,
